Date : 2024-10-20 17:52:12
Directory : c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses
Total : 149 files,  1456 codes, 248 comments, 447 blanks, all 2151 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| data\mobbosses\function\poltergeist\attacks\ground_parts                                                                                                                                     |         13 |         54 |          6 |          1 |         61 |
| data\mobbosses\function\poltergeist\attacks\stage_changes                                                                                                                                    |          7 |         73 |          4 |         18 |         95 |
| data\mobbosses\function\poltergeist\setup                                                                                                                                                    |          7 |         47 |          7 |         11 |         65 |
| data\mobbosses\function\souls                                                                                                                                                                |          2 |         21 |          2 |         10 |         33 |
| data\mobbosses\function\summon_boss                                                                                                                                                          |         10 |         34 |         26 |          8 |         68 |
| data\mobbosses\tags                                                                                                                                                                          |          1 |         13 |          0 |          0 |         13 |
| data\mobbosses\tags\block                                                                                                                                                                    |          1 |         13 |          0 |          0 |         13 |
| data\rng                                                                                                                                                                                     |          4 |         32 |          1 |          1 |         34 |
| data\rng\function                                                                                                                                                                            |          3 |          6 |          1 |          0 |          7 |
| data\rng\loot_tables                                                                                                                                                                         |          1 |         26 |          0 |          1 |         27 |
| data\rng\loot_tables\entities                                                                                                                                                                |          1 |         26 |          0 |          1 |         27 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\README.md                                                                                             | Markdown   |         22 |          0 |          8 |         30 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\minecraft\tags\damage_type\bypasses_cooldown.json                                                | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\minecraft\tags\function\load.json                                                                | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\minecraft\tags\function\tick.json                                                                | JSON       |          5 |          0 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\damage_type\multihit.json                                                              | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\arrow_attack.mcfunction                                             | mcfunction |          9 |          0 |          0 |          9 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\charge.mcfunction                                                   | mcfunction |          8 |          0 |          0 |          8 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\electric_follow.mcfunction                                          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\mb_gp_check.mcfunction                                              | mcfunction |          4 |          0 |          1 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\mb_ground_pound.mcfunction                                          | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\orb_attack.mcfunction                                               | mcfunction |          0 |          2 |          0 |          2 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\snap_attack.mcfunction                                              | mcfunction |          8 |          3 |          0 |         11 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\spin_attack_mob.mcfunction                                          | mcfunction |          6 |          1 |          0 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\straight_arrow.mcfunction                                           | mcfunction |          6 |          0 |          0 |          6 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\tp_atk_location.mcfunction                                          | mcfunction |          7 |          0 |          4 |         11 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\tp_atk_slash.mcfunction                                             | mcfunction |          5 |          0 |          2 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\trap.mcfunction                                                     | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\wave.mcfunction                                                     | mcfunction |         16 |          0 |          5 |         21 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\abilities\wave_tick.mcfunction                                                | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\chainer_tick.mcfunction                                             | mcfunction |         18 |          0 |          5 |         23 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\devansh_tick.mcfunction                                             | mcfunction |         77 |          5 |         32 |        114 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\knight_tick.mcfunction                                              | mcfunction |         38 |          7 |         19 |         64 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\n_boss_head.mcfunction                                              | mcfunction |         10 |          0 |          0 |         10 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\n_boss_tick.mcfunction                                              | mcfunction |        118 |          6 |         39 |        163 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\ravanger_tick.mcfunction                                            | mcfunction |         39 |          4 |         17 |         60 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\speedster_tick.mcfunction                                           | mcfunction |          7 |          0 |          0 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\boss_tick\super_golem_tick.mcfunction                                         | mcfunction |         31 |          4 |         10 |         45 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\firing.mcfunction                                                             | mcfunction |          6 |          1 |          8 |         15 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\arena_and_fight.mcfunction                                      | mcfunction |          3 |          0 |          1 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\animations\left_slash.mcfunction                        | mcfunction |          6 |          1 |          7 |         14 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\animations\plant_dart.mcfunction                        | mcfunction |         10 |          1 |          4 |         15 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\animations\reset.mcfunction                             | mcfunction |          2 |          0 |          1 |          3 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\animations\right_slash.mcfunction                       | mcfunction |          6 |          1 |          4 |         11 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\animations\spray.mcfunction                             | mcfunction |         10 |          0 |          2 |         12 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\combos\approach-attack.mcfunction                       | mcfunction |          5 |          0 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\combos\left-step-right.mcfunction                       | mcfunction |          4 |          2 |          2 |          8 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\dart\multi_spray.mcfunction                             | mcfunction |         12 |          1 |          1 |         14 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\dart\rotations.mcfunction                               | mcfunction |          7 |          2 |          4 |         13 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\dart\single_spray.mcfunction                            | mcfunction |         12 |          5 |          7 |         24 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\end.mcfunction                                          | mcfunction |          5 |          1 |          0 |          6 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\homing\homing_fxn.mcfunction                            | mcfunction |          5 |          0 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\homing\summon_seed.mcfunction                           | mcfunction |          3 |          0 |          0 |          3 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\slash.mcfunction                                        | mcfunction |         29 |          2 |          6 |         37 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\step.mcfunction                                         | mcfunction |          5 |          2 |          0 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\teleport.mcfunction                                     | mcfunction |          9 |          2 |          2 |         13 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\tp_approach.mcfunction                                  | mcfunction |         11 |          1 |          5 |         17 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\attacks\tp_spread_fxn.mcfunction                                | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\fighting_tick.mcfunction                                        | mcfunction |         20 |          7 |         16 |         43 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\methods\decide.mcfunction                                       | mcfunction |          5 |          2 |          4 |         11 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\methods\hold.mcfunction                                         | mcfunction |          3 |          2 |          2 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\methods\melee_decision.mcfunction                               | mcfunction |          8 |          7 |          8 |         23 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\methods\ranged_decision.mcfunction                              | mcfunction |          6 |          5 |          8 |         19 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\methods\set_timer.mcfunction                                    | mcfunction |          7 |          5 |          5 |         17 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\phases\phase_shift.mcfunction                                   | mcfunction |          9 |          8 |         10 |         27 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\player_lose.mcfunction                                          | mcfunction |          8 |          1 |          0 |          9 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\player_win.mcfunction                                           | mcfunction |          8 |          0 |          0 |          8 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\speaking_tick.mcfunction                                        | mcfunction |         22 |          1 |         10 |         33 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\start.mcfunction                                                | mcfunction |         11 |          1 |          2 |         14 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\start_nearest.mcfunction                                        | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\summon.mcfunction                                               | mcfunction |         15 |          3 |          5 |         23 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\flower_knight\tick.mcfunction                                                 | mcfunction |          4 |          0 |          3 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\load.mcfunction                                                               | mcfunction |         22 |          1 |          3 |         26 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attack_checks.mcfunction                                          | mcfunction |          0 |          1 |          0 |          1 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attack_lists\attack_list1.mcfunction                              | mcfunction |         29 |          9 |          2 |         40 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attack_lists\attack_list2.mcfunction                              | mcfunction |         31 |          5 |         11 |         47 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attack_lists\attack_list3.mcfunction                              | mcfunction |         33 |          2 |          7 |         42 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attack_lists\attack_list4.mcfunction                              | mcfunction |         45 |          3 |          6 |         54 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\arrangements\down.mcfunction                         | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\arrangements\left.mcfunction                         | mcfunction |          4 |          1 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\arrangements\mhort.mcfunction                        | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\arrangements\mvert.mcfunction                        | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\arrangements\right.mcfunction                        | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\arrangements\up.mcfunction                           | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\bow_tick.mcfunction                                  | mcfunction |          7 |          2 |          1 |         10 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\shoot.mcfunction                                     | mcfunction |          5 |          0 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\summon_bow.mcfunction                                | mcfunction |          8 |          8 |          5 |         21 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\sweep_end.mcfunction                                 | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\sweep_repeat.mcfunction                              | mcfunction |          1 |          1 |          0 |          2 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\sweep_repeat2.mcfunction                             | mcfunction |          4 |          1 |          2 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\bows\sweep_start.mcfunction                               | mcfunction |         10 |          0 |          2 |         12 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\clutch\end_clutch.mcfunction                              | mcfunction |          3 |          0 |          1 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\clutch\fall.mcfunction                                    | mcfunction |          2 |          0 |          0 |          2 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\clutch\start_clutch.mcfunction                            | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\aim.mcfunction                 | mcfunction |          2 |          1 |          0 |          3 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\edges.mcfunction               | mcfunction |          4 |          0 |          1 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\plus.mcfunction                | mcfunction |          2 |          0 |          0 |          2 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\rotate\rotate_check.mcfunction | mcfunction |          4 |          1 |          1 |          6 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\rotate\rotate_start.mcfunction | mcfunction |          7 |          2 |          0 |          9 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\rotate\rotate_tick.mcfunction  | mcfunction |          3 |          2 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\rotate\show_rotate.mcfunction  | mcfunction |         20 |          0 |          1 |         21 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\tiktaktoe.mcfunction           | mcfunction |          4 |          0 |          1 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\x_shape.mcfunction             | mcfunction |          2 |          0 |          1 |          3 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\hit.mcfunction                              | mcfunction |          4 |          1 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\repeat.mcfunction                           | mcfunction |          5 |          0 |          2 |          7 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\repeat2.mcfunction                          | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\exploding_ray\start.mcfunction                            | mcfunction |          4 |          1 |          0 |          5 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\ground_parts\center.mcfunction                            | mcfunction |          3 |          0 |          0 |          3 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\ground_parts\down_show.mcfunction                         | mcfunction |          3 |          0 |          0 |          3 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\ground_parts\edges.mcfunction                             | mcfunction |          6 |          0 |          0 |          6 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\ground_parts\floor_delete.mcfunction                      | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses\data\mobbosses\function\poltergeist\attacks\ground_parts\g_center.mcfunction                          | mcfunction |          3 |          1 |          0 |          4 |
